<story>Labor|Biggest-job-fair</story>
<start>20080808184250.766</start>
<end>20080808184511.640</end>
Chris Lawrence | is | Arizona 
they | rush | the job fair 
9,000 people | looking | work 
Carla Valenzuela | was let go | April 
She | thought | she 
the other day | used to be | that way 
We | follow | Carla 
We | 'll take | a look 
we | 'll review | a look 
she | makes | no excuses 
he | did n't like | me 
she | did n't like | me 
yourself | up | your boot straps 
work | now compared | this point 
Arizona's unemployment rate | is | its highest 
The forecasts | are | the shredder 
we | are looking | now is 
Arizona | was | one of the top 10 states 
now | leads | the nation 
Health care | is adding | about 1,000 jobs 
she | leaves | a few leads 
one of 33,000 people | had | jobs 
last year | are now | work 
Arizona | has | nearly 5 percent unemployment rate 
95 percent of the people | are | work 
Arizona | does help put | the problem 
