<story>Network|Viewers-responses</story>
<start>20080814232609.098</start>
<end>20080814232652.041</end>
Let | 's take | a look 
Thanks | keeping | America 
the travesty | called | our government 
which | has continually pandered | the Hispanic Community 
' is | getting | a taste of its own medicine 
Hispanic parents | expelling | students 
they | will come | the ` illegals ' senses 
support legislation | mandating | English 
We | will have | more of your thoughts 
