<story>Sports|Olympics</story>
<start>20080815142209.660</start>
<end>20080815142312.556</end>
The U.S. | racking | medals 
Our Larry Smith | covering | the Beijing games 
the U.S. | goes | gold and silver 
the fist time | was | Nastia Luken 
She | beats | Heidi best friend and teammate Shawn Johnson 
they | keep | China 
The Chinese | had won | gold team 
Luken | takes | gold 
He | 's breaking | records 
one | tying | Mark Spitz's record of seven golds 
He | will go | that record 
