<story>Weather|Tornado-watch</story>
<start>20080813153504.533</start>
<end>20080813153715.531</end>
Eric Shanteau | is scheduled | cancer surgery 
More breaking news | to talk | here 
We | 're talking | South Georgia 
The red box | now popping | the radar screen 
these stores | continue to rumble | the South 
we | have n't seen | any new warnings pop 
Albany | heading | the east-southeast 
The low country of the Carolinas | is seeing | some heavy rain 
We | 'll take | any sort of rainfall 
