<story>War|South-Ossetia-war</story>
<start>20080814150100.459</start>
<end>20080814150159.852</end>
Condoleezza Rice | is | France 
CNNs Zain Verjee | is | the State Department 
the agenda | is | the secretary 
State Condoleezza Rice | is | CNN s Zain Verjee way 
Georgia | to have | talks 
the U.S. | wants to present | a united front 
Secretary Rice | is really pushing | a diplomatic isolation of Russia 
a diplomatic isolation of Russia | does nt stick | the cease fire 
The U.S. | has | a bunch of cards 
Georgia | is clearly | an ally 
