<story>Justice|Kilpatrick-assault-case</story>
<start>20080815141609.0331634890814
<end>20080815141640.3981701733438
probable cause | to try | Kwame Kilpatrick 
Some | live | pictures 
The case | stems | a confrontation 
the investigators | trying to serve | a subpoena 
Kilpatrick | was | court 
a judge | told | Kilpatrick 
he | could remove | his electronic tracking device 
another judge | ordered | the mayor 
We | ll stay | top of that story 
