<story>Accident|Dangling-window-washers</story>
<start>20080814180718.2351634890814
<end>20080814180824.0011701733438
our developing news | happening here | today 
window washers | hanging | the side of a story building 
We | were covering | the same story 
they | were wearing | these safety 
all | unfold | downtown Indianapolis 
one point | were hanging | today 
a third person | was trying to rescue | someone 
we | get | more information 
we | re going to keep | checking 
