<story>Justice|Mayor-jail-time</story>
<start>20080808171040.005</start>
<end>20080808171129.554</end>
Mayor Kwame Kilpatrick | apparently taking | a trip 
Mayor Kwame Kilpatrick | facing | new felony charges 
an incident | happened | days 
connection with an incident that happened about days ago | was | July th 
he | is | court 
this arraignment | being done | videotape 
he | d have to spend | bars 
Mayor Kwame Kilpatrick | to say | the very least 
We | re going to move | now 
