<story>Sports|Olympics</story>
<start>20080811185805.046</start>
<end>20080811185925.126</end>
Brianna | has | Olympic fever 
me | out | some of this 
Let | s take | a look 
Host nation China | is still | top 
both | have | eight medals 
They | toasted | the favorite French 
year old Jason Lezak | brought | year old 
He | is | your county right 
He | started | the anchor leg 
Lezaks winning sprint | kept | teammate Michael Phelps 
