<story>Government|Arkansas-curfew</story>
<start>20080813193340.1491634890814
<end>20080813193441.7441701733438
Arkansas | is expanding | its controversial fight 
The no go zone | is expanding | the current blocks 
drastic measures | are needed | drug related shootings 
the curfew | tramples | citizen 
They | feel | they 
They | do intend to continue to saturate and question | everyone 
We | are | the ACLUs approach 
we | re trying to do | a lawful job 
the issue | will be taken | again next month 
The first three days | netted | more than arrests 
