<story>Entertainment|Isaac-Hayes-death</story>
<start>20080811185517.4451634890814
<end>20080811185629.6501701733438
they | saying | Isaac Hayes 
a chance | to tell | all the work of his I 
he | was | the coolest cat 
he | came back | Memphis 
all Memphians | could celebrate | Beverly Crockett 
He | loved | this city 
we | loved | this gracious man 
filmmaker Devo Cutler Rubenstein | had | the chance 
His soul | translated | his skin 
he | was | inspiration 
