<story>Sports|Olympics</story>
<start>20080811195033.161</start>
<end>20080811195140.161</end>
We | want to talk | some Olympics 
Team USA | is holding | the number two spot 
Let | s take | a look 
both | have | eight medals 
the Americans | keep | pace 
they | toasted | the favored French swimmers 
year old Jason Lezak | brought | year old 
He | started | the anchor leg 
Lezaks winning sprint | kept | teammate Michael Phelps 
Our own Fredricka Whitfield | heading | the Olympic Games 
