<story>Politics|Obama-convention</story>
<start>20080811131440.9451634890814
<end>20080811131537.1351701733438
He | is hitting | the lanes 
jogging | visiting | old stomping grounds 
he | does nt plan to do | much work 
Barack Obamas wife Michelle | holds | the spotlight 
Hillary Clinton | takes | center stage 
Obamas yet to be named running mate | will take | the stage 
He | will also be | the audience 
his wife | makes | Barack Obama s wife 
the convention | moves | Invesco Field 
