<story>Accident|Texas-bus-crash</story>
<start>20080811144039.6021634890814
<end>20080811144122.9461701733438
In Texas federal officials | have shut | a bus company 
that rollover crash | killed | people 
the same man | ordered to shut | another fleet 
they | believed | he 
the bus | had been | which 
they | re | Investigators 
we | re trying to connect | some of Investigators 
The driver | lost | control 
which | is north | Dallas 
