<story>Politics|Vice-presidential-campaign</story>
<start>20080815175237.286</start>
<end>20080815175643.499</end>
CNNs Josh Rubin | has | the word 
Time | to express | yourself 
the wrong choice | do nt want to do | the wrong choice 
no idea who it s going to be | has to be | someone 
Colin Powell | would be | an excellent choice 
He | s got | such strong character 
he | s got | a very good background 
Hillary | run | vice president 
Obama | think | a very good background 
