<story>Justice|Victoria-Osteen-case</story>
<start>20080814193118.4751634890814
<end>20080814193238.4881701733438
We | have | this just 
the wife of the renowned pastor | did not assault | the flight attendant 
she | was abused | an angry tirade 
That jury | agreeing | Victoria Osteen 
They | started deliberating | today 
a Continental flight attendant | had claimed | Victoria Osteen 
first class | was nt cleaned up immediately | she 
This jury | is saying | none 
she | made | the story 
the story | to win | money 
