<story>Justice|Arkansas-curfew</story>
<start>20080813155829.570</start>
<end>20080813155932.300</end>
an Arkansas city | get | the green light 
The City Council of Helena West Helena | is allowing | police 
curfew patrol city | wide instead | the block depressed area 
they | targeted | part of police patrols 
such stops | could violate | residents 
They | feel | they 
they | do intend to continue to saturate and question | everyone 
we | re | the ACLUs approach 
we | re trying to do | a lawful job 
the patrols | have led | arrests 
